Component,IRENE Index,Motivation
EC,-,-
DC,10,"It is possible to left open tunnels, that an adversary can exploit"
MG,10,"It is possible to left open tunnels, that an adversary can exploit"
MG,17,"A micro grid can have specific setups about the permissions and protocols to use, and an adversary can try to exploit lacks in these components"
MG,31,"A micro grid can have specific setups about the permissions and protocols to use, and pivileges can be setupped in a wrong way"
MG,37,"When a service speciic of micro grid is updated, vulnerabilities can be inserted into that software"
PS,-,-
LRC,-,-
F,5,"Factories are key buildings, so adversaries could want to deliver malware to compromise / observe key functionalities"
F,13,"Factories are key buildings, so adversaries could want to comprimise the update process of a component"
F,22,"Factories are key buildings, so adversaries could want to compromise the devices of the employers, trying to obtain key information"
F,23,"Factories are key buildings, so adversaries could want to damage key data"
F,30,"Factories work with employers, that can inadvertently expose critical information"
F,36,Factories are key buildings with huge support of resources that degrade due to countinuous usage
F,37,"Factories are key buildings with huge information support systems, so software could be affected by bugs that lead to vulnerabilities"
H,5,"Hospitals are key buildings, so adversaries could want to deliver malware to compromise / observe key functionalities"
H,23,"Hospitals are key buildings, so adversaries could want to damage their key data"
H,24,"Hospitals are key buildings, so adversaries could want to obtain unauthorized access to key resources"
H,25,"Hospitals are key buildings, so adversaries could want to obtain data stealing unprotected devices"
H,30,"Hospitals work with medical employers, that can inadvertently expose critical information"
S,-,-
O,4,"Offices are key buildings, so adversaries could want to annoy or steal information by the users"
O,5,"Offices are key buildings, so adversaries could want to deliver malware to compromise / observe key functionalities"
O,9,"Offices are key buildings with huge support systems, so adversaries could want to exploit lack of configurations related to this system"
O,13,"Offices are key buildings, so adversaries could want to comprimise the update process of a component"
O,20,"Offices are key buildings, so adversaries could want to attack the systems in cyber-physical ways"
O,22,"Offices are key buildings, so adversaries could want to compromise the devices of the employers, trying to obtain key information"
O,23,"Offices are key buildings, so adversaries could want to damage their key data"
O,25,"Offices are key buildings, so adversaries could want to obtain data stealing unprotected devices (e.g. lost employer device)"
O,29,"Offices are key buildings, so adversaries could want to try to spill information from employers' devices"
O,30,"Offices work with employers, that can inadvertently expose critical information"
O,37,"Offices are key buildings with huge information support systems, so software could be affected by bugs that lead to vulnerabilities"
OD,4,"Offices are key buildings, so adversaries could want to annoy or steal information by the users"
OD,5,"Offices are key buildings, so adversaries could want to deliver malware to compromise / observe key functionalities"
OD,9,"Offices are key buildings with huge support systems, so adversaries could want to exploit lack of configurations related to this system"
OD,13,"Offices are key buildings, so adversaries could want to comprimise the update process of a component"
OD,20,"Offices are key buildings, so adversaries could want to attack the systems in cyber-physical ways"
OD,22,"Offices are key buildings, so adversaries could want to compromise the devices of the employers, trying to obtain key information"
OD,23,"Offices are key buildings, so adversaries could want to damage their key data"
OD,25,"Offices are key buildings, so adversaries could want to obtain data stealing unprotected devices (e.g. lost employer device)"
OD,29,"Offices are key buildings, so adversaries could want to try to spill information from employers' devices"
OD,30,"Offices work with employers, that can inadvertently expose critical information"
OD,37,"Offices are key buildings with huge information support systems, so software could be affected by bugs that lead to vulnerabilities"
PP,-,-
PVG,-,-
WF,-,-
DES,6,Communications to and from the storages could be observed to collect network traffic
