IRENE Index,Involved Components,Description
4,SH; AP,While browsing the internet from home through access point; citizens may incur in phishing attacks aimed  to steal personal data
10,AP; PP,Tunnels left opened by citizens can be exploited to conduct any type of attack through the tunnel
15,SH; AP,Communications can be intercepted if an adversary takes place in the middle of a wireless/cable excange of data between homes and access point
21,SH; AP,Communications can be intercepted if an adversary takes place in the middle of a wireless/cable excange of data between homes and access point
29,SH; AP,The citizen is usually not aware of security issues so it may leave critical or sensible information exposed to the network
30,SH; AP,The citizen is usually not aware of security issues so it may leave critical or sensible information exposed to the network
31,S; F,When a match is in progress; a huge amount of energy is requested by the stadium; and maybe stealed from other key resources
31,S; SH,When a match is in progress; a huge amount of energy is requested by the stadium; and maybe stealed from other key resources
17,SH; AP,The growing number of citizens that use the access point lead to open more ports; services and protocols; that are difficult to control and manage. The adversary can expolit one of that ones.
31,SH; SH,The growing number of citizens can lead to competition to get energy among different smart homes
31,SB; SH,The special building (thermal center) needs of a continuous supply of energy; that in some days or weekends can be higher than usual leading to a competition to get energy against other city buildings
31,SB; S,When a match is in progress; a huge amount of energy is requested by the stadium; and maybe stealed from other key resources
5,O; SH,Personal devices of the employeers can be corrupted by this type of malware. Its diffusion is facilitated by the lackness of attention that a common user has with respect to the common communication channels
9,O; SH,The security configurations of each office are dependent from the passwords of the employeers; and the permissions may not be always configured in the right way
11,O; SH,Personal devices of the employeers can be corrupted by this type of malware. Its diffusion is facilitated by the lackness of attention that a common user has with respect to the common communication channels
15,O; SH,When an employeer try to connect to the office from home an attacker can intercept data such as passwords or other types of key informations because the communication may be not encrypted
20,O; SH,Taking advantage of information that can be errounosly left available from the employeers; the attacker can lead cyber-physical threats directed to the offices.
27,O; O,Adversary can acquire information from different organizations that have offices in the city
29,O; SH,The lackness of attention that a common user has with respect to the common communication channels can contribute to expose informations with non authorized users.
30,O; SH,The lackness of attention that a common user has with respect to the common communication channels can contribute to expose informations with non authorized users.
31,O; S,When a match is in progress; a huge amount of energy is requested by the stadium; and maybe stealed from other key resources
31,O; O,Different offices can fight to obtain the needed energy; stealing it from other offices
31,O; SB,The special building (thermal center) needs of a continuous supply of energy; that in some days or weekends can be higher than usual leading to a competition to get energy against other city buildings
10,AP; H,If a citizen checks some data related to the hospital or requests some services such as payments; day hospital treatment ? some connections must not be closed properly by the user; giving the attacker opportunities to exploit this tunnels.
15,AP; H,If a citizen checks some data related to the hospital or requests some services such as payments; day hospital treatment; the attacker can collect the data trying to extract useful information
16,AP; H,The services provided by the hospital can be blocked using wireless jamming techniques from the public access point
18,AP; H,The services provided by the hospital can be blocked using DoS technique from the public access point
21,AP; H,If a citizen checks some data related to the hospital or requests some services such as payments; day hospital treatment; the attacker can intercept the data trying to extract useful information or compromise the communications.
31,H; S,When a match is in progress; a huge amount of energy is requested by the stadium; and maybe stealed from other key resources
31,H; O,The hospital needs a countinuous supply of energy that can generate races to acquire the energy.
31,H; SB,The special building (thermal center) needs of a continuous supply of energy; that in some days or weekends can be higher than usual leading to a competition to get energy against other city buildings
31,H; F,The hospital needs a countinuous supply of energy that can generate races to acquire the energy.
5,AP; BDC,Using the public access point the adversary can try to insert some kind of malware into the data center; (e.g. sending some corrupted data that contains malware)
9,AP; BDC,Using the public access point the adversary can exploit poorly configured protocols to get access to key functionalities of the data center control
12,AP; BDC,Using the public access point the adversary can try to exploit some vulnerabilities of the new data center that are not detected from the city owners
12,AP; S,Using the public access point the adversary can try to exploit some vulnerabilities due to the recent connection changes that are not detected from the city owners
15,DES; H,The data channel between storages and key buildings can be monitored to intercept key communications (e.g. request of providing more energy in a specific interval of time)
15,DES; F,The data channel between storages and key buildings can be monitored to intercept key communications (e.g. request of providing more energy in a specific interval of time)
