IRENE Index,IRENE Event,Mitigation Index(es),Motivation
1,Perform perimeter network reconnaissance/scanning.,11; 12; 18,To limit the amount of information collected by scanning; we can improve media (11); physical (12) and communication (18) protection 
2,Gather information using open source discovery of organizational information.,11,The only way to limit the analisys of open source data is to decrease the amount of sensitive knowledge shared with the community
3,Perform reconnaissance and surveillance of targeted organizations.,4; 12; 16; 19,When an organization is surveiled; monitoring (4) and risk assessment (16) facilities could help to understand if someone is ready to steal informations from you; check the integrity (19) and the physical security (12) is also a way to improve this protection.
4,Craft phishing attacks. ,14; 15; 18,The implementation of a security program is mandatory to limit this type of problems. The user must be aware (15) of this type of attacks; and also the communications (18) need to be protected from middle intrusions. 
5,Create and operate false front organizations to inject malicious components into the supply chain or deliver known/modified malware to internal organizational information systems.,5; 17; 19,Every component need to come from a trusted organization (17) and also need to be tested (5) before inserting it into any organizational process. In this way; we become able also to detect malicious code (19) inserted into the new components.
6,Install sniffers or scanning devices on organizational information systems and networks.,4; 17; 19,Each component needs to come from a trusted organization (17) and checked to detect malicious code (19); in that case; monitoring activities could help to understand if therre are some new untrusted streams or actions appeared on the context that execute suspect code.
7,Insert subverted individuals into organizations. ,1; 2; 4,It is mandatory to regulate (2) the way personnel access computer programs and applications; and control the access (1) of each of them every time; also using some monitoring (4) facilities.
8,Exploit physical access of authorized staff to gain access to organizational facilities.,1; 4; 12; 15,The first step is to assume personnel only after a regulated and controlled process (15). Althrough you have to monitor (4) their activities - also the physical access (12) - to understand if some suspicious actions are performed.
9,Exploit poorly configured or unauthorized information systems exposed to the Internet.,1; 2; 7; 10,The exposition is due to a lack of access control (1) (2) and authentication (7) policies. An efficient mantainance process has to be conducted in order to check and update the system configurations.
10,Exploit split tunneling. ,4; 18,All the comminucations must follow a defined protocol (18) that avoid to keep opened an unused connection. To support this protection technique; checking; investigation and monitoring facilities (4) can be adopted.
11,Exploit known vulnerabilities in mobile systems (e.g.; laptops; PDAs; smart phones).,16; 17; 18,The vulnerabilities need to be assessed (16) in order to know which are the weaknesses of the system. Once that vulnerabilities are discovered; the acquisition of new components cannot add new vulnerabilities (17); and the communication links between the system and the devices (18) needs to be protected.
