Event Category,NIST Index(es),IRENE Index,Threat Event,Description
PRGI,1;2,1,Perform perimeter (or exposed) network reconnaissance/scanning.,Adversary uses commercial or free software to scan organizational perimeters to obtain a better understanding of the information technology infrastructure and improve the ability to launch successful attacks.
PRGI,3,2,Gather information using open source discovery of organizational information.,Adversary mines publically accessible information to gather information about organizational information systems; business processes; users or personnel; or external relationships that the adversary can subsequently employ in support of an attack.
PRGI,4; 5,3,Perform reconnaissance and surveillance of targeted organizations.,Adversary uses various means (e.g.; scanning; physical observation; malware) over time to examine and assess organizations and ascertain points of vulnerability.
CCAT,6; 7; 9; 10,4,Craft phishing attacks also using counterfeits. ,Adversary counterfeits communications from a legitimate/trustworthy source to acquire sensitive information such as usernames; passwords; or SSNs. Typical attacks occur via email; instant messaging; duplicate of legitimate sites or comparable means; commonly directing users to websites that appear to be legitimate sites; while actually stealing the entered information.
DIIMC,12; 13; 14; 15; 16; 17; 18; 19,5,Deliver known/modified malware to internal organizational information systems.,Adversary uses some delivery mechanisms (e.g.; email; web traffic; instant messaging; FTP; removable media; downloadable software) to deliver malware and possibly modifications of known malware to gain access to internal organizational information systems.
DIIMC,21; 22; 23,6,Install sniffers or scanning devices on organizational information systems and networks.,Adversary places within internal organizational information systems or networks software designed to (over a continuous period of time) collect (sniff) network traffic.
DIIMC,24; 25,7,Insert subverted individuals into organizations. ,Adversary places individuals within organizations who are willing and able to carry out actions to cause harm to organizational missions/business functions. Adversary may target privileged functions to gain access to sensitive information (e.g.; user accounts; system files; etc.) and may leverage access to one privileged capability to get to another capability.
EC,26,8,Exploit physical access of authorized staff to gain access to organizational facilities.,Adversary follows (?tailgates?) authorized individuals into secure/controlled locations with the goal of gaining access to facilities; circumventing physical security checks.
EC,27,9,Exploit poorly configured or unauthorized information systems exposed to the Internet.,Adversary gains access through the Internet to information systems that are not authorized for Internet connectivity or that do not meet organizational configuration requirements.
EC,28,10,Exploit split tunneling. ,Adversary takes advantage of external organizational or personal information systems (e.g.; laptop computers at remote locations) that are simultaneously connected securely to organizational information systems or networks and to nonsecure remote connections.
EC,30,11,Exploit known vulnerabilities in mobile systems (e.g.; laptops; PDAs; smart phones).,Adversary takes advantage of fact that transportable information systems are outside physical protection of organizations and logical protection of corporate firewalls; and compromises the systems based on known vulnerabilities to gather information from those systems.
EC,31,12,Exploit recently discovered vulnerabilities. ,Adversary exploits recently discovered vulnerabilities in organizational information systems in an attempt to compromise the systems before mitigation measures are available or in place. 
EC,38; 42,13,Compromise design; manufacture; and/or distribution of information system components (including hardware; software; and firmware)or devices used externally and reintroduced into the enterprise.,Adversary installs malware on information systems or devices while the systems/devices are external to organizations for purposes of subsequently infecting organizations when reconnected. Adversary can also compromise the design; manufacture; and/or distribution of critical information system components at selected suppliers.
EC,39; 40; 41,14,Compromise software of organizational critical information systems.,Adversary inserts malware or otherwise corrupts critical internal organizational information systems.
CA,43; 46,15,Conduct communications interception attacks. ,Adversary takes advantage of communications that are either unencrypted; use weak encryption (e.g.; encryption containing publically known flaws) or permitted information flows (e.g.; email communication; removable storage); to gain access to transmitted information and channels.
CA,44,16,Conduct wireless jamming attacks. ,Adversary takes measures to interfere with wireless communications so as to impede or prevent communications from reaching intended recipients.
CA,45,17,Conduct attacks using unauthorized ports; protocols and services.,Adversary conducts attacks using ports; protocols; and services for ingress and egress that are not authorized for use by organizations.
CA,47; 48; 49; 66,18,Conduct Denial of Service (DoS) attack. ,Adversary attempts to make an Internet-accessible resource unavailable to intended users; or prevent the resource from functioning efficiently or at all; temporarily or indefinitely.
CA,50; 51,19,Conduct physical attacks on organizational facilities. ,Adversary conducts a physical attack on organizational facilities or infrastructures (e.g.; sets a fire; breaks a water main; cuts a power line).
CA,52; 54; 56; 57,20,Conduct cyber-physical attacks on organizational facilities; session hijacking or brute force attempts.,Adversary conducts a cyber-physical attack on organizational facilities (e.g.; remotely changes HVAC settings); takes control of (hijacks) already established with the aim to legitimate information or leads systematic guessing of passwords; possibly supported by password cracking utilities .
